k_topics,LSI_ExplainedVariance,LDA_Perplexity,LDA_Coherence_c_v
5,0.12704765090974512,22342.53598359142,0.7118373616977886
10,0.19412813380439262,64984.109280913035,0.6116158433323939
15,0.23990858595986617,94064.51800696395,0.6355146343612701
